Year,player_name,last_name,first_name,team,team_clean,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2014,"Young, Chris",Young, Chris,BUR,BUR,T,19,5,19,24,15,0,3,0,0
2014,"Joaquim, Anthony",Joaquim, Anthony,TOR,TOR,T,19,9,14,23,36,2,0,0,1
2014,"Simpson, Shane",Simpson, Shane,SNA,SNA,,15,11,12,23,29,0,0,2,0
2014,"Bell, Tyson",Bell, Tyson,SCA,SCA,,17,9,13,22,85,0,3,0,0
2014,"Pavic, Ryan",Pavic, Ryan,MIS,MIS,,20,7,15,22,45,2,6,0,0
2014,"Arch, Travis",Arch, Travis,MIS,MIS,,13,6,15,21,0,3,5,0,1
2014,"Cook, Jake",Cook, Jake,TOR,TOR,T,12,9,12,21,14,0,0,0,1
2014,"Martin, Ian",Martin, Ian,SNA,SNA,O,9,11,10,21,0,3,1,0,0
2014,"Withers, Jake",Withers, Jake,PET,PET,T,20,5,16,21,27,1,0,0,0
2014,"Bennett, Matthew",Bennett, Matthew,BRA,BRA,T,20,7,13,20,45,0,0,0,2
2014,"Kelusky, Adam",Kelusky, Adam,PET,PET,O,16,7,13,20,10,0,0,0,1
2014,"Mackay, Tyler",Mackay, Tyler,BRA,BRA,O,9,7,13,20,0,0,0,1,0
2014,"Rice, Brine",Rice, Brine,PET,PET,O,10,9,11,20,4,1,0,0,1
2014,"Layton, Brent",Layton, Brent,BLS,BLS,T,20,2,17,19,16,1,2,0,0
2014,"Thomson, Tanner",Thomson, Tanner,TOR,TOR,O,11,10,9,19,25,3,3,0,0
2014,"Buswell, Chris",Buswell, Chris,BUR,BUR,T,20,9,9,18,49,0,0,1,0
2014,"Chaykowsky, Nick",Chaykowsky, Nick,BLS,BLS,T,12,8,10,18,38,1,1,2,0
2014,"Elder, Lauchlin",Elder, Lauchlin,BUR,BUR,F,19,11,7,18,4,0,0,1,1
2014,"Wiedemann, Adam",Wiedemann, Adam,BRA,BRA,D,19,5,13,18,10,1,0,1,4
2014,"Armstrong, Brandon",Armstrong, Brandon,ORA,ORA,O,16,9,8,17,16,0,0,0,0
2014,"Coyle, Joel",Coyle, Joel,ORA,ORA,T,20,7,10,17,15,0,1,0,1
2014,"Argall, Matthew",Argall, Matthew,MIS,MIS,,13,0,16,16,4,0,5,0,0
2014,"Gilray, Matt",Gilray, Matt,PET,PET,F,15,10,6,16,19,1,0,3,1
2014,"Wales, Mitch",Wales, Mitch,BUR,BUR,T,17,6,10,16,4,0,0,0,0
2014,"Wallace, Braden",Wallace, Braden,BUR,BUR,T,17,8,8,16,28,1,0,0,0
2014,"Bellamy, Adam",Bellamy, Adam,SCA,SCA,,20,4,11,15,27,1,1,0,0
2014,"Hutchison, Dylan",Hutchison, Dylan,PET,PET,T,20,4,11,15,12,1,0,1,1
2014,"OBrien, Joey",OBrien, Joey,MIS,MIS,F,19,4,11,15,12,0,1,0,0
2014,"Vangalen, Matt",Vangalen, Matt,ORA,ORA,T,10,6,9,15,4,0,0,0,0
2014,"Barclay, James",Barclay, James,TOR,TOR,,11,1,13,14,10,0,0,0,0
2014,"Burr, Cory",Burr, Cory,TOR,TOR,O,9,4,10,14,16,0,2,0,0
2014,"Dakin, Ryan",Dakin, Ryan,SCA,SCA,O,10,9,5,14,45,0,0,0,0
2014,"Elder, Spencer",Elder, Spencer,BUR,BUR,T,12,7,7,14,2,0,0,0,0
2014,"Slade, Brandon",Slade, Brandon,ORA,ORA,T,17,4,10,14,21,0,1,0,0
2014,"Garlent, Holden",Garlent, Holden,SCA,SCA,,19,2,11,13,7,0,1,1,0
2014,"Hill, Brogen",Hill, Brogen,SCA,SCA,,19,4,9,13,2,0,0,0,0
2014,"Hoggarth, Thomas",Hoggarth, Thomas,PET,PET,T,20,4,9,13,37,0,0,0,0
2014,"Jones, Randy",Jones, Randy,BRA,BRA,O,5,8,5,13,4,0,2,0,1
2014,"Patterson, Anthony",Patterson, Anthony,SNA,SNA,,16,7,6,13,67,0,1,0,0
2014,"Adams, Ryan",Adams, Ryan,BRA,BRA,T,20,7,5,12,24,0,0,0,0
2014,"Brown, Frank",Brown, Frank,SNA,SNA,,7,4,8,12,2,0,0,0,0
2014,"Guiltinan, Eric",Guiltinan, Eric,KWE,KWE,T,20,5,7,12,56,0,1,0,2
2014,"MacSpadyen, Ryan",MacSpadyen, Ryan,TOR,TOR,O,11,11,1,12,16,0,0,1,0
2014,"McKee, Brendan",McKee, Brendan,MIS,MIS,,14,4,7,11,4,0,0,0,0
2014,"McLay, Jake",McLay, Jake,KWE,KWE,F,18,2,9,11,42,0,0,0,1
2014,"McWilliams, Mike",McWilliams, Mike,BLS,BLS,F,12,6,5,11,14,0,1,0,0
2014,"Robertson, Darryl",Robertson, Darryl,WHI,WHI,D,18,3,8,11,18,0,1,1,0
2014,"Searle, Derek",Searle, Derek,BUR,BUR,T,17,1,10,11,22,0,1,0,2
2014,"Cook, Keenan",Cook, Keenan,WHI,WHI,D,17,2,8,10,19,0,0,0,0
