Year,player_name,last_name,first_name,team,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2019,"Fairey, Josh",Fairey, Josh,TOR,,15,5,5,10,0,0,1,0,1
2019,"Maltby AP, Andrew",Maltby AP, Andrew,BLS,,10,2,8,10,0,0,2,0,0
2019,"Salinas, Gutch",Salinas, Gutch,BUR,,16,3,7,10,29,0,0,0,1
2019,"Szabo, Joey",Szabo, Joey,MIM,,16,3,7,10,2,0,3,1,0
2019,"Van Der Zalm, Saul",Van Der Zalm, Saul,SCA,,20,5,5,10,12,0,0,0,0
2019,"X Mazzuca, Phil",X Mazzuca, Phil,OAK,,20,5,5,10,19,1,0,1,0
2019,"(AP) Tkachuk, Justin",(AP) Tkachuk, Justin,TOR,,14,4,5,9,15,0,0,0,0
2019,"Aquanno, Connor",Aquanno, Connor,SCA,,5,2,7,9,0,0,0,0,0
2019,"Argent, Tye",Argent, Tye,BUR,,7,5,4,9,0,0,0,0,0
2019,"Booth, Percy",Booth, Percy,SNA,,17,4,5,9,27,0,0,0,0
2019,"Duncan, Matthew",Duncan, Matthew,TOR,,15,1,8,9,18,0,0,0,1
2019,"Graham, Rory",Graham, Rory,MIM,,18,3,6,9,29,0,1,0,0
2019,"Marinier, Matt",Marinier, Matt,BUR,,19,4,5,9,39,0,1,0,0
2019,"McGregor, Gavin",McGregor, Gavin,SCA,,11,2,7,9,0,0,0,0,0
2019,"Smith, Hodowas",Smith, Hodowas,SNA,,8,3,6,9,19,0,0,0,1
2019,"X Balawejder, Daniel",X Balawejder, Daniel,SNA,,20,1,8,9,28,1,0,0,1
2019,"(AP) Boyden, Jack",(AP) Boyden, Jack,TOR,,4,2,6,8,0,0,0,0,0
2019,"Biles, Tyler",Biles, Tyler,BRA,,19,1,7,8,53,0,0,0,0
2019,"Blount-Smith, Owen",Blount-Smith, Owen,BRA,,20,2,6,8,16,0,0,1,0
2019,"Caskenette, Brody",Caskenette, Brody,ORA,,8,3,5,8,0,1,1,0,0
2019,"Driscoll, Kyle",Driscoll, Kyle,KWE,,17,3,5,8,4,0,1,0,0
2019,"Gagliardi, Jonathan",Gagliardi, Jonathan,OAK,,15,3,5,8,23,0,1,0,0
2019,"Handsor, Kobe",Handsor, Kobe,WHI,,19,0,8,8,14,0,1,0,0
2019,"Harris, Latrell",Harris, Latrell,SCA,,14,2,6,8,10,0,0,0,0
2019,"Harris, Mike",Harris, Mike,BUR,,20,4,4,8,2,0,0,2,2
2019,"Martin, Curtis",Martin, Curtis,PET,,10,2,6,8,6,0,0,0,0
2019,"Mcdonald, Liam",Mcdonald, Liam,SCA,,3,3,5,8,0,0,0,0,0
2019,"Reed, Scott",Reed, Scott,WHI,,20,5,3,8,27,0,0,0,0
2019,"Smith, Matt",Smith, Matt,PET,,19,4,4,8,37,0,1,1,0
2019,"St Onge, Rylee",St Onge, Rylee,SCA,,19,5,3,8,2,0,0,0,0
2019,"Abrams, Maccoy",Abrams, Maccoy,SNA,,3,4,3,7,6,0,0,0,0
2019,"Connor, Joe",Connor, Joe,BLS,,20,2,5,7,46,0,0,0,0
2019,"Kamminga, Mason",Kamminga, Mason,SCA,,18,3,4,7,34,0,0,0,0
2019,"Kauffeldt, Devlin",Kauffeldt, Devlin,BLS,,17,3,4,7,25,0,0,0,0
2019,"Mandeville, Oriale",Mandeville, Oriale,BLS,,18,3,4,7,6,0,1,0,0
2019,"Race, Julian",Race, Julian,SCA,,2,0,7,7,0,0,0,0,0
2019,"Tamlin, Matt",Tamlin, Matt,PET,,9,3,4,7,71,0,0,0,0
2019,"X Dawick, Josh",X Dawick, Josh,WHI,,4,2,5,7,0,0,0,0,0
2019,"X Di Lella, Matt",X Di Lella, Matt,BUR,,20,4,3,7,16,0,0,1,0
2019,"Bolsterli, Oliver",Bolsterli, Oliver,SNA,,17,1,5,6,10,0,0,0,0
2019,"Commandant, Caleb",Commandant, Caleb,OAK,,17,1,5,6,16,0,1,0,0
2019,"Firth (AP), Sam",Firth (AP), Sam,ORA,,3,2,4,6,0,1,0,0,0
2019,"Hunt, Colin",Hunt, Colin,BUR,,19,0,6,6,6,0,0,0,0
2019,"Leclair, Sam",Leclair, Sam,SCA,,1,1,5,6,0,1,5,0,0
2019,"Millsap (AP), Noah",Millsap (AP), Noah,ORA,,3,2,4,6,0,0,0,0,0
2019,"Noble, Pierson",Noble, Pierson,MIM,,20,1,5,6,18,0,0,0,1
2019,"Pace, Alex",Pace, Alex,SCA,,20,1,5,6,24,0,0,0,1
2019,"Wallace, Peytin",Wallace, Peytin,WHI,,18,0,6,6,20,0,0,0,0
2019,"X Kearney AP, Zack",X Kearney AP, Zack,OAK,,4,3,3,6,0,0,0,0,0
2019,"Young, Zach",Young, Zach,MIM,,6,1,5,6,2,0,0,0,0
2019,"Allaer AP, Landon",Allaer AP, Landon,KWE,,6,0,5,5,6,0,0,0,0
2019,"Begley AP, Carter",Begley AP, Carter,MIM,,4,1,4,5,0,0,0,0,0
2019,"Berg, Justin",Berg, Justin,BLS,,14,0,5,5,0,0,0,0,0
2019,"Bradshaw, Aaron",Bradshaw, Aaron,PET,,5,1,4,5,2,0,1,0,0
2019,"Budway, Jack (AP)",Budway, Jack (AP),WHI,,2,2,3,5,0,0,0,0,0
2019,"Dong, Kevin",Dong, Kevin,OAK,,19,3,2,5,13,0,0,0,1
2019,"Doolittle, Jake",Doolittle, Jake,WHI,,20,0,5,5,8,0,0,0,1
2019,"Greyeyes, Aaron",Greyeyes, Aaron,SNA,,9,2,3,5,4,0,0,0,0
2019,"Lowes, Holden",Lowes, Holden,PET,,19,1,4,5,10,0,0,0,0
2019,"Martino, Jacob",Martino, Jacob,OAK,,18,2,3,5,28,0,0,0,1
2019,"McCrory, Liam",McCrory, Liam,BLS,,9,3,2,5,2,1,0,0,0
2019,"Oakes, Tesi",Oakes, Tesi,ORA,,2,2,3,5,0,0,1,0,0
2019,"Petite, Noah",Petite, Noah,PET,,7,1,4,5,2,0,0,0,0
2019,"Saunders, Jacob",Saunders, Jacob,BUR,,13,1,4,5,20,0,1,0,0
2019,"Skidders, Isaiah",Skidders, Isaiah,SNA,,3,1,4,5,0,0,0,0,0
2019,"Somers AP, Brad",Somers AP, Brad,OAK,,6,1,4,5,2,0,0,0,0
2019,"Swanton, Logan",Swanton, Logan,ORA,,14,2,3,5,2,0,0,0,0
2019,"Sykes, Matthew",Sykes, Matthew,MIM,,9,1,4,5,21,0,1,0,0
