PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
CARTER SCHOTT,Whitby Warriors,12,0,1,1,40,,0,0,0,0
CADEN HEWITT,Toronto Beaches,18,0,1,1,12,,0,0,0,0
OWEN CIAVOLEILLO,Brampton Excelsiors,18,0,1,1,6,,0,0,0,0
RILEY DELILL,Brampton Excelsiors,20,0,1,1,53,,0,0,0,0
DANNY NEILSON,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
ISAIAH SKIDDERS,Six Nations Arrows,1,0,0,0,0,,0,0,0,0
ZACH PIPHER,Whitby Warriors,1,0,0,0,2,,0,0,0,0
BEN KROMER,Whitby Warriors,1,0,0,0,0,,0,0,0,0
MAX TAYLOR,Whitby Warriors,1,0,0,0,0,,0,0,0,0
BRAEDAN GARDNER,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
CY DEERE,Oakville Buzz,1,0,0,0,0,,0,0,0,0
MATHIS COULLARD,Oakville Buzz,1,0,0,0,0,,0,0,0,0
GARRETTE STONEFISH,Oakville Buzz,1,0,0,0,0,,0,0,0,0
RYAN CORNFIELD,Kitchener-Waterloo,1,0,0,0,0,,0,0,0,0
JACK LONGMORE,Peterborough Lakers,1,0,0,0,0,,0,0,0,0
WES GEEKIE,Peterborough Lakers,1,0,0,0,2,,0,0,0,0
