PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
COLIN MATTHEWS,Burlington Chiefs,D,6,1,2,3,4,0,0,1,0
NORM PITT,Burlington Chiefs,F,6,1,2,3,0,0,0,0,0
BO COLUMBUS,Kitchener-Waterloo,D,6,1,2,3,9,0,0,0,0
ISAAC SQUIRE-HILL,Six Nations Arrows,D,7,1,2,3,48,0,0,0,0
BO COLUMBUS,St. Catharines Athletics,D,8,1,2,3,0,0,0,0,1
ETHAN BROWN AP,Mimico Mountaineers,T,8,1,2,3,11,0,1,1,0
MICHAEL GRACE,Burlington Chiefs,D,14,1,2,3,19,0,0,0,0
BEN DOHERTY,St. Catharines Athletics,D,15,1,2,3,42,0,0,0,0
WILLIAM WHITE,Peterborough Lakers,D,15,1,2,3,2,0,0,0,0
MARK VAN SCHEPEN,Brampton Excelsiors,D,16,1,2,3,23,0,0,0,0
LUCAS HUCAL,Oakville Buzz,T,19,1,2,3,16,1,1,0,0
KEVIN HILL,Six Nations Arrows,F,3,0,3,3,2,0,1,0,0
KYLE MCMILLAN,Burlington Chiefs,–,4,0,3,3,0,0,0,0,0
GAVIN SNOW,Kitchener-Waterloo,F,5,0,3,3,2,0,0,0,0
RYAN PATTERSON,St. Catharines Athletics,D,8,0,3,3,8,0,0,0,0
RYAN ESSENSSA,Mimico Mountaineers,F,10,0,3,3,7,0,0,0,1
WYATT WIGGINS,Peterborough Lakers,T,10,0,3,3,4,0,0,0,0
ATKIN DWYER AP,Mimico Mountaineers,D,12,0,3,3,4,0,2,0,0
JAYDEN SMITH,Six Nations Arrows,D,13,0,3,3,38,0,0,0,0
SEVEN GILLINGHAM,Kitchener-Waterloo,–,14,0,3,3,26,0,0,0,0
AIDEN MACDONELL,Mimico Mountaineers,D,15,0,3,3,33,0,1,0,0
MICHAEL WHITE,Whitby Warriors,D,17,0,3,3,14,0,1,0,1
MARCUS KELEHER,Oakville Buzz,F,1,2,0,2,0,0,0,0,0
CAM ESSENSA AP,Mimico Mountaineers,–,1,2,0,2,0,0,0,1,0
SHAKORENNAWIS SWAMP,Six Nations Arrows,F,2,2,0,2,2,1,0,0,0
DANIEL MAY,Toronto Beaches,D,6,2,0,2,8,1,0,0,0
COLE HUNSBERGER ,Kitchener-Waterloo,F,7,2,0,2,6,0,0,0,0
TYLER GRANDEL,Peterborough Lakers,D,17,2,0,2,22,0,0,0,0
LIAM STEELE,Brampton Excelsiors,D,20,2,0,2,24,1,0,0,0
DYLAN CORDINGLEY,Orangeville Northmen,F,1,1,1,2,0,0,0,0,0
NATE SAGE,Peterborough Lakers,F,1,1,1,2,0,1,1,0,0
ANDY DALTON,Kitchener-Waterloo,–,2,1,1,2,4,0,0,0,0
HAMISH MCPHERSON,Toronto Beaches,–,2,1,1,2,0,0,0,0,0
DAMON DOXTATOR,Six Nations Arrows,F,2,1,1,2,0,0,0,0,0
KEATON BROWN,Orangeville Northmen,F,4,1,1,2,0,0,0,0,0
BRETT HARRISON AP,Mimico Mountaineers,–,4,1,1,2,0,0,0,0,0
ZACH MACDONALD,Burlington Chiefs,T,6,1,1,2,12,0,0,0,0
NICHOLAS DAMICO,Burlington Chiefs,D,7,1,1,2,2,0,0,0,0
ETHAN FISHER,St. Catharines Athletics,D,7,1,1,2,0,0,0,0,0
JACOB GARCIA,Mimico Mountaineers,–,10,1,1,2,2,0,0,0,0
