PLAYER,TEAM,#,POS.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
PEYTON MCINTOSH,St. Catharines Athletics,15,D,18,1,7,8,0,2,0,0,12,0
JEREMI PHOENIX-LEFEBVRE,Toronto Beaches,8,–,19,1,7,8,0,1,0,1,20,0
KADEN KUBLINSKAS,Kitchener-Waterloo,15,–,17,1,6,7,0,0,1,0,6,0
COOPER JACKSON,Burlington Chiefs,"10, 16, 18, 5",T,18,1,6,7,0,2,1,1,6,0
CAMERON PACK,St. Catharines Athletics,5,D,9,1,5,6,0,0,0,0,16,0
XANDER DERKATZ,Oakville Buzz,66,F,4,1,4,5,1,1,0,0,4,0
CARSON ROBINS,St. Catharines Athletics,40,F,6,1,4,5,0,0,0,0,0,0
EDDY FERREDE,Kitchener-Waterloo,9,–,17,1,4,5,0,0,0,0,16,0
AARON TOGURI,Mimico Mountaineers,15,D,18,1,4,5,0,0,0,0,34,0
JACOB MCLEAN,Peterborough Lakers,28,–,1,1,3,4,1,2,0,0,0,0
ALEX HICKS,Kitchener-Waterloo,"3, 5, 71",–,4,1,3,4,0,0,0,0,0,0
ISSAC PRANTERA,St. Catharines Athletics,14,D,10,1,3,4,1,0,0,1,8,0
LUCAS OSBORNE,Peterborough Lakers,5,D,12,1,3,4,0,0,0,0,2,0
KEAN PARE,Six Nations Arrows,12,D,17,1,3,4,1,1,0,0,21,0
MAVRYK GATT,St. Catharines Athletics,41,F,1,1,2,3,0,0,0,0,2,0
CHRISTIAN LEFEUVRE,St. Catharines Athletics,4,F,2,1,2,3,0,1,0,0,0,0
NOLAN BARKER,Kitchener-Waterloo,"23, 4",–,2,1,2,3,0,0,0,0,0,0
JAMES DONNELLY,Peterborough Lakers,"3, 8",D,2,1,2,3,0,1,1,1,0,0
BRAEDEN LOCKYER,Oakville Buzz,16,F,2,1,2,3,0,1,0,0,2,0
TREYTON WEINSTEIN,Kitchener-Waterloo,"11, 29",F,3,1,2,3,0,0,0,0,0,0
COLIN MATTHEWS,Burlington Chiefs,"15, 16, 24, 8",D,6,1,2,3,0,0,1,0,4,0
BO COLUMBUS,Kitchener-Waterloo,24,D,6,1,2,3,0,0,0,0,9,0
NORM PITT,Burlington Chiefs,"2, 3, 5",F,6,1,2,3,0,0,0,0,0,0
BO COLUMBUS,St. Catharines Athletics,11,D,7,1,2,3,0,0,0,1,0,0
